,PC1,PC2,PC3,PC4
2年,0.4861445445806036,0.7115979789035906,-0.29538944357458763,-0.4123552774241381
5年,0.5223767965742008,0.1921513470559778,0.19539294946798869,0.8074787536051016
10年,0.5042576537545568,-0.30205276076266996,0.6905626666683236,-0.42143985543554413
30年,0.48632312592076293,-0.6045414013618483,-0.6306265735971085,-0.018155878036627025
