日期,PC1,PC2,PC3
2002-01-04,0.3809080201557509,-0.4850082344091602,-0.7349996531815916
2002-01-07,0.33126631465250156,-0.3956440609728271,-0.6749548022007393
2002-01-08,-1.080906881598659,0.4432854744976651,1.4191840883523212
2002-01-09,-1.2009376632670732,0.6868608969787268,1.7618724139828907
2002-01-10,-1.1960431440289383,0.6500451564571708,1.7175431077685284
2002-01-11,-1.0662338619371845,0.21947767703602422,1.1581345962260994
2002-01-14,-1.4481722005484416,0.3746179544555102,1.6304620136243018
2002-01-15,-1.3501180623886657,0.33629345685565537,1.5219116637222276
2002-01-16,-1.3115169015991246,0.21847839344981554,1.3118323793150892
2002-01-17,-1.3813848046422803,0.2737246643886787,1.4092495019492701
2002-01-18,-0.08283797113799882,-0.3487054862706023,-0.1526834959363543
2002-01-21,-0.05632684913243425,-0.46643734314950386,-0.3120238445579992
2002-01-22,-0.08169832286374544,-0.30074148827500047,-0.0864430755066965
2002-01-23,0.12804918869359944,-0.56884673207361,-0.6324443218265235
2002-01-24,-0.08811112438391788,-0.47549937739785014,-0.28955899099469795
2002-01-25,0.13988508820239356,-0.7772743800165877,-0.9680824064073549
2002-01-28,0.06107262520213416,-0.6604106223239916,-0.6922127085294832
2002-01-29,-1.0139333354915043,0.7146099689158517,2.092259898268501
2002-01-30,-0.036129679461754285,-0.568065377865457,-0.46017024832503217
2002-01-31,-0.020975196183833356,-0.5498706650056487,-0.4554512994890454
2002-02-01,-0.11208706289939656,-0.6364493932858705,-0.4658663856637552
2002-02-04,-0.24574419279754448,-0.44188964480778686,-0.24114498955656216
2002-02-05,-0.18882795796193416,-0.6415165211997409,-0.43775609141603067
2002-02-06,-0.06766074131270451,-0.6470981294552339,-0.5277724733162346
2002-02-07,-0.5198312822439215,-0.12362493919010455,0.17568927440303614
2002-02-08,-0.4643672164558124,-0.26373469398473426,-0.015726978299715023
2002-02-09,-0.42061798738007217,-0.314348665211569,-0.10010149797913472
2002-02-10,-0.40157011606744397,-0.26628221624268583,-0.06283693694782161
2002-02-11,-0.36000112259219824,-0.2374500923815692,-0.06079892358079754
